customer_id,name,email,membership_age,revenue,preferred_film_language,preferred_film_category,city,preferred_film_year
1,SMITH MARY,MARY.SMITH@sakilacustomer.org,185.0,118.68,['English             '],"['Animation', 'Classics', 'Comedy', 'Documentary', 'Sports']",Sasebo,['00s']
2,JOHNSON PATRICIA,PATRICIA.JOHNSON@sakilacustomer.org,185.0,128.73,['English             '],"['Animation', 'Classics', 'Drama', 'Horror', 'Sports']",San Bernardino,['00s']
3,WILLIAMS LINDA,LINDA.WILLIAMS@sakilacustomer.org,185.0,135.74,['English             '],"['Animation', 'Comedy', 'Drama', 'Sci-Fi', 'Travel']",Athenai,['00s']
4,JONES BARBARA,BARBARA.JONES@sakilacustomer.org,185.0,81.78,['English             '],"['Comedy', 'Documentary', 'Foreign', 'Sci-Fi', 'Travel']",Myingyan,['00s']
5,BROWN ELIZABETH,ELIZABETH.BROWN@sakilacustomer.org,185.0,144.62,['English             '],"['Animation', 'Classics', 'Family', 'Games', 'Sports']",Nantou,['00s']
6,DAVIS JENNIFER,JENNIFER.DAVIS@sakilacustomer.org,185.0,93.72,['English             '],"['Animation', 'Children', 'Documentary', 'Drama', 'Sci-Fi']",Laredo,['00s']
7,MILLER MARIA,MARIA.MILLER@sakilacustomer.org,185.0,151.67,['English             '],"['Action', 'Animation', 'Family', 'Sports', 'Travel']",Kragujevac,['00s']
8,WILSON SUSAN,SUSAN.WILSON@sakilacustomer.org,185.0,92.76,['English             '],"['Classics', 'Documentary', 'Family', 'Sports', 'Travel']",Hamilton,['00s']
9,MOORE MARGARET,MARGARET.MOORE@sakilacustomer.org,185.0,89.77,['English             '],"['Classics', 'Comedy', 'Foreign', 'Sports', 'Travel']",Masqat,['00s']
10,TAYLOR DOROTHY,DOROTHY.TAYLOR@sakilacustomer.org,185.0,99.75,['English             '],"['Action', 'Children', 'Foreign', 'Horror', 'Sports']",Esfahan,['00s']
11,ANDERSON LISA,LISA.ANDERSON@sakilacustomer.org,185.0,106.76,['English             '],"['Action', 'Children', 'Drama', 'Horror', 'Music']",Sagamihara,['00s']
12,THOMAS NANCY,NANCY.THOMAS@sakilacustomer.org,185.0,103.72,['English             '],"['Classics', 'Comedy', 'Documentary', 'Drama', 'Travel']",Yamuna Nagar,['00s']
13,JACKSON KAREN,KAREN.JACKSON@sakilacustomer.org,185.0,131.73,['English             '],"['Classics', 'Documentary', 'Family', 'Foreign', 'Sports']",Osmaniye,['00s']
14,WHITE BETTY,BETTY.WHITE@sakilacustomer.org,185.0,117.72,['English             '],"['Action', 'Children', 'Documentary', 'Drama', 'Foreign']",Citrus Heights,['00s']
15,HARRIS HELEN,HELEN.HARRIS@sakilacustomer.org,185.0,134.68,['English             '],"['Children', 'Classics', 'Foreign', 'Games', 'Sports']",Bhopal,['00s']
16,MARTIN SANDRA,SANDRA.MARTIN@sakilacustomer.org,185.0,120.71,['English             '],"['Action', 'Animation', 'Children', 'Games', 'Sports']",Southend-on-Sea,['00s']
17,THOMPSON DONNA,DONNA.THOMPSON@sakilacustomer.org,185.0,98.79,['English             '],"['Children', 'Drama', 'Foreign', 'Games', 'Sci-Fi']",Elista,['00s']
18,GARCIA CAROL,CAROL.GARCIA@sakilacustomer.org,185.0,91.78,['English             '],"['Action', 'Classics', 'Music', 'Sports', 'Travel']",Kaduna,['00s']
19,MARTINEZ RUTH,RUTH.MARTINEZ@sakilacustomer.org,185.0,125.76,['English             '],"['Action', 'Games', 'Horror', 'Sports', 'Travel']",Kimberley,['00s']
20,ROBINSON SHARON,SHARON.ROBINSON@sakilacustomer.org,185.0,115.7,['English             '],"['Action', 'Children', 'Comedy', 'Family', 'Sports']",Mardan,['00s']
21,CLARK MICHELLE,MICHELLE.CLARK@sakilacustomer.org,185.0,155.65,['English             '],"['Action', 'Family', 'Foreign', 'Sci-Fi', 'Sports']",Tangail,['00s']
22,RODRIGUEZ LAURA,LAURA.RODRIGUEZ@sakilacustomer.org,185.0,113.78,['English             '],"['Action', 'Animation', 'Comedy', 'Foreign', 'Sports']",Sal,['00s']
23,LEWIS SARAH,SARAH.LEWIS@sakilacustomer.org,185.0,119.7,['English             '],"['Animation', 'Family', 'Horror', 'Sci-Fi', 'Sports']",Liepaja,['00s']
24,LEE KIMBERLY,KIMBERLY.LEE@sakilacustomer.org,185.0,95.75,['English             '],"['Animation', 'Children', 'Classics', 'Games', 'Travel']",Crdoba,['00s']
25,WALKER DEBORAH,DEBORAH.WALKER@sakilacustomer.org,185.0,115.71,['English             '],"['Classics', 'Drama', 'Foreign', 'Horror', 'Sci-Fi']",Shikarpur,['00s']
26,HALL JESSICA,JESSICA.HALL@sakilacustomer.org,185.0,152.66,['English             '],"['Action', 'Documentary', 'Drama', 'Foreign', 'Horror']",Citt del Vaticano,['00s']
27,ALLEN SHIRLEY,SHIRLEY.ALLEN@sakilacustomer.org,185.0,126.69,['English             '],"['Animation', 'Children', 'Classics', 'Foreign', 'Sports']",Davao,['00s']
28,YOUNG CYNTHIA,CYNTHIA.YOUNG@sakilacustomer.org,185.0,111.68,['English             '],"['Action', 'Documentary', 'Drama', 'Family', 'Sci-Fi']",Munger (Monghyr),['00s']
29,HERNANDEZ ANGELA,ANGELA.HERNANDEZ@sakilacustomer.org,185.0,140.64,['English             '],"['Animation', 'Children', 'Documentary', 'Family', 'Horror']",Shimonoseki,['00s']
30,KING MELISSA,MELISSA.KING@sakilacustomer.org,185.0,123.66,['English             '],"['Action', 'Children', 'Comedy', 'Documentary', 'Travel']",Lungtan,['00s']
31,WRIGHT BRENDA,BRENDA.WRIGHT@sakilacustomer.org,185.0,104.74,['English             '],"['Action', 'Classics', 'Documentary', 'Foreign', 'Games']",Kamarhati,['00s']
32,LOPEZ AMY,AMY.LOPEZ@sakilacustomer.org,185.0,127.71,['English             '],"['Action', 'Animation', 'Classics', 'Comedy', 'Games']",Jhansi,['00s']
33,HILL ANNA,ANNA.HILL@sakilacustomer.org,185.0,91.79,['English             '],"['Animation', 'Children', 'Classics', 'Comedy', 'Sports']",Alessandria,['00s']
34,SCOTT REBECCA,REBECCA.SCOTT@sakilacustomer.org,185.0,89.76,['English             '],"['Comedy', 'Drama', 'Games', 'Horror', 'Travel']",Kurashiki,['00s']
35,GREEN VIRGINIA,VIRGINIA.GREEN@sakilacustomer.org,185.0,129.68,['English             '],"['Comedy', 'Drama', 'Foreign', 'Sci-Fi', 'Sports']",Toulouse,['00s']
36,ADAMS KATHLEEN,KATHLEEN.ADAMS@sakilacustomer.org,185.0,92.73,['English             '],"['Animation', 'Children', 'Classics', 'Comedy', 'Music']",Arak,['00s']
37,BAKER PAMELA,PAMELA.BAKER@sakilacustomer.org,185.0,95.77,['English             '],"['Classics', 'Comedy', 'Family', 'Horror', 'Music']",Nanyang,['00s']
